Date, Time, Temperature (C), Humidity (%)
2020-07-14,00:00:00,25.16,50.70
2020-07-14,00:30:00,30.63,34.73
2020-07-14,01:00:00,30.72,33.83
2020-07-14,01:30:00,30.93,33.66
2020-07-14,02:00:00,30.69,34.28
2020-07-14,02:30:00,30.74,33.47
2020-07-14,03:00:00,30.53,33.84
2020-07-14,03:30:00,30.53,34.02
2020-07-14,04:00:00,30.40,34.67
2020-07-14,04:30:00,30.31,34.93
2020-07-14,05:00:00,30.40,34.89
2020-07-14,05:30:00,30.64,34.31
2020-07-14,06:00:00,30.49,34.37
2020-07-14,06:30:00,30.66,35.41
2020-07-14,07:00:00,30.87,34.22
2020-07-14,07:30:00,30.50,35.66
2020-07-14,08:00:00,30.75,35.18
2020-07-14,08:30:00,30.67,36.92
2020-07-14,09:00:00,30.08,39.32
2020-07-14,09:30:00,30.12,40.30
2020-07-14,10:00:00,30.62,39.91
2020-07-14,10:30:00,30.46,40.38
2020-07-14,11:00:00,30.20,41.33
2020-07-14,11:30:00,30.38,41.55
2020-07-14,12:00:00,30.62,40.26
